,customer_id_num,product_cat_num,review_score,predicted_score
0,527,3,5.0,4.802944841628879
1,527,3,5.0,4.802944841628879
2,527,3,5.0,4.802944841628879
3,527,3,5.0,4.802944841628879
4,685,25,5.0,4.814486224901756
5,808,0,5.0,4.769440253291737
6,931,13,5.0,4.78825592632322
7,931,13,5.0,4.78825592632322
8,931,13,5.0,4.78825592632322
9,931,13,5.0,4.78825592632322
10,1372,20,4.0,3.913127500312531
11,2724,0,5.0,4.769440253291737
12,2802,0,4.0,3.815552247246793
13,2802,0,4.0,3.815552247246793
14,2802,0,4.0,3.815552247246793
15,2802,0,4.0,3.815552247246793
16,2816,8,5.0,4.766716488617536
17,3022,14,5.0,4.794792764033279
18,3055,11,5.0,4.762993973195825
19,3176,8,5.0,4.766716488617536
20,3458,12,1.0,0.954132973154198
21,3495,17,1.0,0.9514757159427467
22,3790,0,5.0,4.769440253291737
23,3904,14,1.0,-0.009296872773928128
24,3924,24,5.0,4.80623071183446
25,3986,0,3.0,2.8616641766276794
26,4289,5,1.0,0.9518497371890614
27,4736,8,4.0,3.8133731402387343
28,5638,2,1.0,0.953244506790186
29,6351,17,1.0,0.9514757159427467
30,6469,25,3.0,2.88869171550259
31,6616,0,3.0,2.8616641766276794
32,7014,0,5.0,4.769440253291737
33,7188,8,5.0,4.766716488617536
34,7188,8,5.0,4.766716488617536
35,7188,8,5.0,4.766716488617536
36,7188,8,5.0,4.766716488617536
37,7493,1,1.0,0.9532923848087131
38,7768,8,5.0,4.766716488617536
39,7892,2,1.0,0.953244506790186
40,8448,12,1.0,0.954132973154198
41,8557,63,3.0,2.953542914861717
42,8658,0,3.0,2.8616641766276794
43,8675,5,5.0,4.759248667476491
44,8823,5,5.0,4.759248667476491
45,9613,41,1.0,0.9733987298649409
46,9618,24,5.0,4.80623071183446
47,9893,1,5.0,4.766461959197935
48,10112,0,5.0,0.9791356021470627
49,10112,0,5.0,0.9791356021470627
50,10112,0,5.0,0.9791356021470627
51,10112,0,5.0,0.9791356021470627
52,11479,17,4.0,3.805902863770987
53,11512,0,5.0,4.769440253291737
54,11716,32,5.0,4.805169718408294
55,12105,17,5.0,4.757378467455604
56,12105,17,5.0,4.757378467455604
57,12105,17,5.0,4.757378467455604
58,12105,17,5.0,4.757378467455604
59,12131,3,1.0,0.9605889755092651
60,12264,44,4.0,3.875270036957334
61,12740,8,4.0,3.8133731402387343
62,12740,8,4.0,3.8133731402387343
63,12740,8,4.0,3.8133731402387343
64,12740,8,4.0,3.8133731402387343
65,12825,17,4.0,3.805902863770987
66,12982,8,5.0,4.766716488617536
67,12982,8,5.0,4.766716488617536
68,12982,8,5.0,4.766716488617536
69,12982,8,5.0,4.766716488617536
70,13360,8,1.0,0.9533432850596836
71,14216,8,4.0,3.8133731402387343
72,15019,17,5.0,4.757378467455604
73,15475,5,5.0,4.759248667476491
74,15628,2,5.0,4.766222518744392
75,15938,12,5.0,4.770664814099787
76,15938,12,5.0,4.770664814099787
77,15938,12,5.0,4.770664814099787
78,15938,12,5.0,4.770664814099787
79,16302,48,5.0,4.889396139426079
80,16340,14,3.0,2.876875674291764
81,16378,48,3.0,0.9738722074070102
82,16601,11,5.0,4.762993973195825
83,17115,41,3.0,2.92019619549075
84,17278,12,5.0,4.770664814099787
85,17647,15,5.0,4.821786671700771
86,17647,15,5.0,4.821786671700771
87,17647,15,5.0,4.821786671700771
88,17647,15,5.0,4.821786671700771
89,18513,15,5.0,4.821786671700771
90,18513,15,5.0,4.821786671700771
91,18513,15,5.0,4.821786671700771
92,18513,15,5.0,4.821786671700771
93,18989,11,5.0,4.762993973195825
94,19140,6,5.0,4.786163091918312
95,19795,21,1.0,0.9531952431659864
96,19936,12,5.0,4.770664814099787
97,19936,12,5.0,4.770664814099787
98,19936,12,5.0,4.770664814099787
99,19936,12,5.0,4.770664814099787
100,20748,16,1.0,0.9576988711737074
101,20748,16,1.0,0.9576988711737074
102,20748,16,1.0,0.9576988711737074
103,20748,16,1.0,0.9576988711737074
104,20748,16,1.0,0.9576988711737074
105,20748,16,1.0,0.9576988711737074
106,20748,16,1.0,0.9576988711737074
107,20748,16,1.0,0.9576988711737074
108,20748,16,1.0,0.9576988711737074
109,20748,16,1.0,0.9576988711737074
110,20748,16,1.0,0.9576988711737074
111,20748,16,1.0,0.9576988711737074
112,20748,16,1.0,0.9576988711737074
113,20748,16,1.0,0.9576988711737074
114,20748,16,1.0,0.9576988711737074
115,20748,16,1.0,0.9576988711737074
116,20755,1,5.0,4.766461959197935
117,20755,1,5.0,4.766461959197935
118,20755,1,5.0,4.766461959197935
119,20755,1,5.0,4.766461959197935
120,20811,1,3.0,2.8598770953835735
121,20980,0,4.0,3.815552247246793
122,21502,50,5.0,-0.41566460980516307
123,21704,14,1.0,0.9589585616604169
124,21750,12,4.0,3.816531892616792
125,22152,14,5.0,4.794792764033279
126,22675,21,5.0,4.765976179225759
127,22912,0,4.0,3.815552247246793
128,23034,32,5.0,4.805169718408294
129,23838,12,4.0,3.816531892616792
